Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	id	parent	flybase	flybase_revhits	flybase_name	gbue11	gbue11_revhits	orthodb	orthodb_revhits	ontology_term	FlyBase	FlyBase_2	FlyBase_3	FlyBase_4	FlyBase_Annotation_IDs	FlyBase_Annotation_IDs_2	FlyBase_Annotation_IDs_3	FlyBase_Annotation_IDs_4	FlyMine	FlyMine_2	GB_protein	GB_protein_2	GB_protein_3	GB_protein_4	GB_protein_5	GB_protein_6	GI	REFSEQ	REFSEQ_2	REFSEQ_3	UniProt/Swiss-Prot	UniProt/Swiss-Prot_2	UniProt/TrEMBL	UniProt/TrEMBL_2	modMine	modMine_2
gbgene7125	185701.321360334	-4.09593249402725	0.961217303525853	-6.13746021499301	8.38512096577911e-10	1.1295596453001e-05	gbgene7125.t1	gbgene7125	FBgn0029807	gbgene1454.t1,gbgene5116.t1,gbgene7125.t1,gbgene7125.t2	CG3108-PA	GBUE008947-PA	gbgene7125.t1,gbgene7125.t2	56086_0_0022f2	gbgene7125.t1,gbgene7125.t2	GO:0004181,GO:0005615,GO:0006508,GO:0008270	FBpp0070798	NA	NA	NA	CG3108-PA	NA	NA	NA	FBpp0070798	NA	AAF46083.2	AAF46083	NA	NA	NA	NA	NA	NP_572262	NA	NA	NA	NA	Q9W475	NA	FBpp0070798	NA
gbman.GBUE000618-PA.1	2649.34365189011	-5.08751961398986	0.881486585294717	-6.13263031826529	8.64378500245208e-10	1.16440427768032e-05	gbman.GBUE000618-PA.1.t1	gbman.GBUE000618-PA.1	FBgn0004778	gbgene4791.t1,gbgene11962.t1,gbgene11963.t1,gbgene11967.t1,gbgene18912.t1	Ccp84Af-PA	GBUE000618-PA	NA	56086_0_000269	NA	GO:0005615,GO:0008010,GO:0031012,GO:0032504,GO:0040003,GO:0062129	FBpp0081193	FBpp0081188	NA	NA	CG2341-PA	CG1331-PA	NA	NA	FBpp0081193	FBpp0081188	AAF54095.1	AAF54095	AAF54093.1	AAF54093	NA	NA	NA	NP_649680	NP_649678	NA	NA	NA	O97063	O97061	FBpp0081193	FBpp0081188
gbman.GBUE019609-PA.1	40556.92065887	-4.4468709725407	0.948860078030906	-6.07571694905206	1.23434971869179e-09	1.66279250604971e-05	gbman.GBUE019609-PA.1.t1	gbman.GBUE019609-PA.1	FBgn0250833	gbgene3941.t1,gbgene3941.t2,gbgene4699.t1,gbgene5075.t1,gbgene11355.t1,gbgene11357.t1,gbgene11360.t1,gbgene11360.t2,gbgene14852.t1,gbgene15501.t1,gbgene15687.t1	CG34461-PB	GBUE019609-PA	gbgene11360.t1,gbgene11360.t2	56086_0_004c98	gbgene11360.t1,gbgene11360.t2	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0305270	NA	NA	NA	CG34461-PB	NA	NA	NA	NA	NA	AGB94271	NA	NA	NA	NA	NA	NA	NP_001261576	NA	NA	NA	NA	Q5U126	NA	NA	NA
gbman.GBUE006901-PA.1	1841.97066289151	-4.50103128926755	0.947432819903301	-6.0680539594654	1.29469410651459e-09	1.74408243088581e-05	gbman.GBUE006901-PA.1.t1	gbman.GBUE006901-PA.1	FBgn0036878	gbgene9382.t1,gbgene15499.t1,gbgene15500.t1,gbgene15502.t1,gbgene15503.t1,gbgene15504.t1,gbgene15505.t1,gbgene15506.t1,gbgene15509.t1,gbgene15509.t2	Cpr76Ba-PA	GBUE006901-PA	NA	56086_0_001af4	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0074745	NA	NA	NA	CG9283-PA	NA	NA	NA	FBpp0074745	NA	AAF49153.1	AAF49153	NA	NA	NA	NA	NA	NP_649120	NA	NA	NA	NA	Q9VW02	NA	FBpp0074745	NA
gbgene10081	1741.99429308985	-3.75689178258166	0.620010200475171	-6.06362265795494	1.33089196330571e-09	1.79284456376913e-05	gbgene10081.t1	gbgene10081	NA	NA	NA	GBUE005136-PA	NA	56086_0_00140f	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene9996	9559.77922395582	2.29236975706359	0.37989103065199	6.03428998349534	1.59663127252695e-09	2.15082198722105e-05	gbgene9996.t1	gbgene9996	FBgn0012037	gbgene6261.t1,gbgene9996.t1,gbgene9998.t1,gbgene9999.t1	Ance-PC	GBUE007767-PA	gbgene9996.t1,gbgene9998.t1,gbgene9999.t1	56086_0_001e59	NA	GO:0005615,GO:0005886,GO:0006508,GO:0007289,GO:0007291,GO:0007552,GO:0008237,GO:0008241,GO:0009609,GO:0016486,GO:0032504	FBpp0310259	NA	NA	NA	CG8827-PC	NA	NA	NA	NA	NA	AHN54429	NA	NA	NA	NA	NA	NA	NP_001285915	NA	NA	Q10714	NA	NA	NA	NA	NA
gbman.GBUE006900-PA.1	3268.92563648823	-3.85752023498667	0.967119078290914	-6.01149455831457	1.83820683563674e-09	2.47624842828625e-05	gbman.GBUE006900-PA.1.t1	gbman.GBUE006900-PA.1	FBgn0036878	gbgene9382.t1,gbgene15499.t1,gbgene15500.t1,gbgene15502.t1,gbgene15503.t1,gbgene15504.t1,gbgene15505.t1,gbgene15506.t1,gbgene15509.t1,gbgene15509.t2	Cpr76Ba-PA	GBUE006900-PA	NA	56086_0_001af3	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0074745	NA	NA	NA	CG9283-PA	NA	NA	NA	FBpp0074745	NA	AAF49153.1	AAF49153	NA	NA	NA	NA	NA	NP_649120	NA	NA	NA	NA	Q9VW02	NA	FBpp0074745	NA
gbman.GBUE000889-PA.1	1035.21779837887	-4.32103766322577	0.95447629383018	-5.99653573943794	2.01571263800545e-09	2.71536649465715e-05	gbman.GBUE000889-PA.1.t1	gbman.GBUE000889-PA.1	NA	NA	NA	NA	NA	NA	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0074702	NA	NA	NA	CG9290-PA	NA	NA	NA	FBpp0074702	NA	AAF49152.1	AAF49152	NA	NA	NA	NA	NA	NP_649121	NA	NA	NA	NA	Q9VW03	NA	FBpp0074702	NA
gbman.GBUE011554-PA.1	60068.6689929883	-4.39486560178617	0.949908643247834	-5.98011893066206	2.22974762966876e-09	3.00369303192679e-05	gbman.GBUE011554-PA.1.t1	gbman.GBUE011554-PA.1	NA	NA	NA	NA	NA	NA	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0304919	NA	NA	NA	CG1919-PB	NA	NA	NA	NA	NA	AGB93988	NA	NA	NA	NA	NA	NA	NP_001261293	NA	NA	NA	NA	Q9W077	NA	NA	NA
gbgene15166	96.3994564767054	-2.637593742861	0.441927924014126	-5.95468465411146	2.60573773322339e-09	3.51018930042523e-05	gbgene15166.t1	gbgene15166	NA	NA	NA	GBUE012983-PA	NA	56086_0_0032b6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene16792	396.932912514804	-4.85326435367067	0.929650371418475	-5.92848792170564	3.05736896937155e-09	4.11858173864041e-05	gbgene16792.t1	gbgene16792	NA	NA	NA	GBUE009348-PA	gbgene16792.t1,gbgene16793.t1	56086_0_002483	gbgene16792.t1,gbgene16793.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene312	23652.3071327171	4.12791728435561	0.700754602837506	5.91032660252665	3.41430089648627e-09	4.59940473765665e-05	gbgene312.t1	gbgene312	FBgn0038180	NA	Cht5-PA	GBUE004871-PA	NA	56086_0_001306	NA	GO:0004568,GO:0005576,GO:0005615,GO:0005975,GO:0006032,GO:0008061,GO:0018990,GO:0040003,GO:0042060	FBpp0082294	NA	NA	NA	CG9307-PA	NA	NA	NA	FBpp0082294	NA	AAF54987.1	AAF54987	NA	NA	NA	NA	NA	NP_650314	NA	NA	NA	NA	Q9VFR3	NA	FBpp0082294	NA
gbman.GBUE001944-PA.1	34425.1396263173	-4.25593104598754	0.95466391587725	-5.90829564184473	3.45665266874169e-09	4.65645681006193e-05	gbman.GBUE001944-PA.1.t1	gbman.GBUE001944-PA.1	FBgn0250833	gbgene3941.t1,gbgene3941.t2,gbgene4699.t1,gbgene5075.t1,gbgene11355.t1,gbgene11357.t1,gbgene11360.t1,gbgene11360.t2,gbgene14852.t1,gbgene15501.t1,gbgene15687.t1	CG34461-PB	GBUE001944-PA	NA	56086_0_000797	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0305270	NA	NA	NA	CG34461-PB	NA	NA	NA	NA	NA	AGB94271	NA	NA	NA	NA	NA	NA	NP_001261576	NA	NA	NA	NA	Q5U126	NA	NA	NA
gbgene7690	10522.2661812233	-3.7993284853635	0.967883058245314	-5.85066705469967	4.89605429946265e-09	6.59547474680613e-05	gbgene7690.t1	gbgene7690	NA	NA	NA	GBUE008376-PA	NA	56086_0_0020b7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbman.GBUE014232-PA.1	15099.0274567587	-4.84301709779793	0.89709950674768	-5.81413788586807	6.09471628284107e-09	8.21019230461521e-05	gbman.GBUE014232-PA.1.t1	gbman.GBUE014232-PA.1	FBgn0033942	NA	Cpr51A-PA	GBUE014232-PA	NA	56086_0_001b66	NA	GO:0005615,GO:0008010,GO:0031012,GO:0032504,GO:0040003,GO:0062129	FBpp0086643	FBpp0081192	NA	NA	CG10112-PA	CG1330-PA	NA	NA	FBpp0086643	FBpp0081192	AAF58238.1	AAF58238	AAF54094.1	AAF54094	NA	NA	NA	NP_649679	NP_610968	NA	NA	NA	Q7JZW0	O97062	FBpp0086643	FBpp0081192
gbman.GBUE007232-PA.1	1456.02712597547	-4.30884612999895	0.952409533148414	-5.81326415366274	6.12662676028849e-09	8.25317890878462e-05	gbman.GBUE007232-PA.1.t1	gbman.GBUE007232-PA.1	FBgn0038819	gbgene11480.t1,gbgene11481.t1,gbgene11482.t1,gbgene11488.t1,gbgene17286.t1	Cpr92F-PA	GBUE007232-PA	NA	56086_0_001c3f	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0083327	NA	NA	NA	CG5494-PA	NA	NA	NA	FBpp0083327	NA	AAF55794.1	AAF55794	NA	NA	NA	NA	NA	NP_650905	NA	NA	NA	NA	Q9VDJ8	NA	FBpp0083327	NA
gbgene19926	2432.21566699557	-3.53204719837034	0.97326488242311	-5.80910332020451	6.28083213491535e-09	8.46090896894447e-05	gbgene19926.t1	gbgene19926	NA	NA	NA	GBUE019419-PA	NA	56086_0_004bda	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbman.GBUE017917-PA.1	3310.22947728642	-4.22692641805339	0.954958528718343	-5.79260275130393	6.93038987891575e-09	9.3359282058874e-05	gbman.GBUE017917-PA.1.t1	gbman.GBUE017917-PA.1	NA	NA	NA	NA	NA	NA	NA	GO:0005576,GO:0008010,GO:0008061,GO:0030023,GO:0031012,GO:0032992,GO:0040003,GO:0042302,GO:0062129	FBpp0086175	NA	NA	NA	CG15920-PA	NA	NA	NA	FBpp0086175	NA	AAF57953.1	AAF57953	NA	NA	NA	NA	NA	NP_611157	NA	NA	Q9V7U0	NA	NA	NA	FBpp0086175	NA
gbgene16058	1106.57107154202	-4.62108420399604	0.811067675933439	-5.78024129913639	7.45935595182626e-09	0.000100484984027052	gbgene16058.t1	gbgene16058	FBgn0039203	gbgene5097.t1,gbgene5548.t1,gbgene5548.t2,gbgene6952.t1,gbgene6953.t1,gbgene12908.t1,gbgene12909.t1,gbgene12910.t1,gbgene12911.t1,gbgene16058.t1	CG13618-PA	GBUE000064-PA	gbgene6952.t1,gbgene12858.t1,gbgene16058.t1,gbgene19262.t1	13249_0_002290	NA	GO:0005615,GO:0032504	FBpp0084027	NA	NA	NA	CG13618-PA	NA	NA	NA	FBpp0084027	NA	AAF56308.2	AAF56308	NA	NA	NA	NA	NA	NP_651265	NA	NA	NA	NA	Q9VC67	NA	FBpp0084027	NA
gbman.GBUE006394-PA.1	3022.42386496979	-4.43781381069841	0.944611918418172	-5.75149846141656	8.84558863044923e-09	0.000119158924440782	gbman.GBUE006394-PA.1.t1	gbman.GBUE006394-PA.1	FBgn0039480	gbgene6061.t1,gbgene10064.t1	Cpr97Ea-PA	GBUE006394-PA	NA	56086_0_0018f9	NA	GO:0008010,GO:0040003,GO:0062129	FBpp0084506	FBpp0084505	NA	NA	CG15884-PA	CG6131-PA	NA	NA	FBpp0084506	FBpp0084505	AAF56661.2	AAF56661	AAF56660.2	AAF56660.1	AAF56660	NA	NA	NP_651530	NP_651529	NA	NA	NA	Q9VB82	Q9VB81	FBpp0084506	FBpp0084505
gbgene17382	6746.52729109594	-4.79709808843381	0.899727085603013	-5.7506594779931	8.88960037134803e-09	0.000119751806602429	gbgene17382.t1	gbgene17382	NA	NA	NA	GBUE008993-PA	NA	56086_0_002320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbman.GBUE008534-PA.1	19.4343519355816	-3.49221416992461	0.587960385303648	-5.73574086568711	9.70870067406081e-09	0.000130785906780273	gbman.GBUE008534-PA.1.t1	gbman.GBUE008534-PA.1	FBgn0033603	gbgene7150.t1,gbgene7151.t1,gbgene7152.t1,gbgene7153.t1,gbgene7155.t1,gbgene7166.t1	Cpr47Ef-PD	GBUE008534-PA	NA	56086_0_002155	NA	GO:0008010,GO:0040003,GO:0062129	FBpp0291859	NA	NA	NA	CG13214-PD	NA	NA	NA	FBpp0291859	NA	ADV37152	NA	NA	NA	NA	NA	NA	NP_001188905	NA	NA	NA	NA	A0A0B4JCR2	NA	FBpp0291859	NA
gbgene2781	99.2023873752127	4.1462286320434	0.724052334462805	5.68447839173369	1.31212510618663e-08	0.000176756373054401	gbgene2781.t1	gbgene2781	FBgn0039200	NA	CG13616-PA	GBUE005081-PA	gbgene2781.t1,gbgene3660.t1,gbgene14587.t1	286706_0_000448	NA	NA	FBpp0084002	NA	NA	NA	CG13616-PA	NA	NA	NA	FBpp0084002	NA	AAF56300.1	AAF56300	NA	NA	NA	NA	NA	NP_651262	NA	NA	NA	NA	Q9VC75	NA	FBpp0084002	NA
gbgene7679	878.337557370352	-4.3002539331894	0.950637099249793	-5.62038386680886	1.90533633611525e-08	0.000256667857838085	gbgene7679.t1	gbgene7679	NA	NA	NA	GBUE008386-PA	NA	56086_0_0020c1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene14859	20037.956568542	-4.20341102594865	0.953477025863716	-5.61451060989187	1.97119334711106e-08	0.000265539455789331	gbgene14859.t1	gbgene14859	FBgn0037429	NA	Osi19-PB	GBUE016607-PA	gbgene14859.t1,gbgene14862.t1	56086_0_0040de	NA	GO:0003674,GO:0005887,GO:0008150	FBpp0290708	NA	NA	NA	CG15189-PB	NA	NA	NA	FBpp0290708	NA	ACZ94827	NA	NA	NA	NA	NA	NA	NP_001163529	NA	NA	NA	NA	Q6AWK7	NA	FBpp0290708	NA
gbman.GBUE020645-PA.1	365.525237299786	-4.76406371089197	0.893023366769202	-5.6078394487977	2.04867934423873e-08	0.000275977594462399	gbman.GBUE020645-PA.1.t1	gbman.GBUE020645-PA.1	NA	NA	NA	NA	NA	NA	NA	GO:0008010,GO:0040003,GO:0062129	FBpp0112271	NA	NA	NA	CG30045-PB	NA	NA	NA	FBpp0112271	NA	ABV53776	NA	NA	NA	NA	NA	NA	NP_001097285	NA	NA	NA	NA	A8DRW0	NA	FBpp0112271	NA
gbgene2001	6807.41343616115	-4.46949416184523	0.938074178022905	-5.60697913969002	2.05888464539787e-08	0.000277352350581548	gbgene2001.t1	gbgene2001	FBgn0004034	NA	y-PA	GBUE019152-PA	NA	56086_0_004acf	NA	GO:0004167,GO:0005576,GO:0005737,GO:0006583,GO:0042438,GO:0048065,GO:0048066,GO:0048067,GO:0048082,GO:0060179,GO:0070451	FBpp0070070	NA	NA	NA	CG3757-PA	NA	NA	NA	FBpp0070070	NA	AAF45497.1	AAF45497	NA	NA	NA	NA	NA	NP_476792	NA	NA	P09957	NA	NA	NA	FBpp0070070	NA
gbgene7675	33629.4313044846	-3.87911108296077	0.964799556380741	-5.60253701469491	2.11236908211487e-08	0.000284557239051694	gbgene7675.t1	gbgene7675	NA	NA	NA	GBUE008390-PA	NA	56086_0_0020c5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7682	695.775315688895	-3.50476718976373	0.973790566709387	-5.58214322752435	2.37572600943693e-08	0.000320034050731248	gbgene7682.t1	gbgene7682	NA	NA	NA	GBUE008373-PA	gbgene7682.t1,gbgene7693.t1,gbgene7693.t2	56086_0_0020b4	gbgene7682.t1,gbgene7693.t1,gbgene7693.t2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene15700	1434.59507892738	-4.6116726663036	0.862935829433409	-5.52428012537935	3.30839258721291e-08	0.000445673565423451	gbgene15700.t1	gbgene15700	FBgn0039476	gbgene15698.t1,gbgene15700.t1,gbgene15701.t1,gbgene17118.t1	CG6271-PA	GBUE011320-PA	gbgene15700.t1,gbgene15701.t1	56086_0_002c37	gbgene15700.t1,gbgene15701.t1	GO:0005615,GO:0016042,GO:0016298	FBpp0084519	NA	NA	NA	CG6271-PA	NA	NA	NA	FBpp0084519	NA	AAF56654.1	AAF56654	NA	NA	NA	NA	NA	NP_651526	NA	NA	NA	NA	Q9VB88	NA	FBpp0084519	NA
gbgene5758	2831.65878608821	-4.06511710235493	0.958167370694902	-5.50457700419225	3.70055689438664e-08	0.000498502019242824	gbgene5758.t1	gbgene5758	FBgn0032538	gbgene4712.t1,gbgene5757.t1,gbgene5758.t1,gbgene8521.t1,gbgene9359.t1,gbgene9512.t1,gbgene14565.t1	Vajk2-PA	GBUE020400-PA	gbgene5757.t1,gbgene5758.t1,gbgene5759.t1	56086_0_0023e2	gbgene5757.t1,gbgene5758.t1	GO:0005214,GO:0008061,GO:0040003,GO:0062129	FBpp0080135	NA	NA	NA	CG16885-PA	NA	NA	NA	FBpp0080135	NA	AAF53358.2	AAF53358	NA	NA	NA	NA	NA	NP_609689	NA	NA	NA	NA	Q8SZM2	NA	FBpp0080135	NA
gbgene9598	445.448233551348	2.40688435583548	0.438891040363097	5.48262312773908	4.19065137244564e-08	0.000564522646382152	gbgene9598.t1	gbgene9598	NA	NA	NA	GBUE012958-PA	NA	56086_0_00329d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene13820	3880.51289863712	-4.39920485525279	0.939019318672076	-5.48129335988463	4.22227684280072e-08	0.000568782913493685	gbgene13820.t1	gbgene13820	NA	NA	NA	GBUE015466-PA	NA	56086_0_003c69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7691	1257.20797036111	-3.07793157016385	0.97848350368239	-5.46788061717284	4.55448455110227e-08	0.000613534613878987	gbgene7691.t1	gbgene7691	NA	NA	NA	GBUE008375-PA	NA	56086_0_0020b6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbman.GBUE008953-PA.1	11141.7733090326	-4.29827613692569	0.945453467541684	-5.46004921723462	4.76002608084222e-08	0.000641223113350256	gbman.GBUE008953-PA.1.t1	gbman.GBUE008953-PA.1	FBgn0036881	NA	Cpr76Bd-PD	GBUE008953-PA	NA	56086_0_0022f8	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0304995	FBpp0304994	NA	NA	CG9299-PD	CG9299-PC	NA	NA	NA	NA	AGB94746	AGB94745	NA	NA	NA	NA	NA	NP_001262053	NP_001262052	NA	NA	NA	Q9VW05	M9PFX4	NA	NA
gbgene15836	1020.61671553813	-4.45649884161728	0.933670137085112	-5.44566674705405	5.16116871528066e-08	0.000695261037635458	gbgene15836.t1	gbgene15836	NA	NA	NA	GBUE010412-PA	NA	56086_0_0028ab	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene15836	1020.61671553813	-4.45649884161728	0.933670137085112	-5.44566674705405	5.16116871528066e-08	0.000695261037635458	gbgene15836.t2	gbgene15836	NA	NA	NA	GBUE010414-PA	NA	56086_0_0028ad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene15698	2101.07291212957	-4.43772375601463	0.830977378544387	-5.44379330554772	5.2157738634927e-08	0.000702616897151102	gbgene15698.t1	gbgene15698	FBgn0039476	gbgene15698.t1,gbgene15700.t1,gbgene15701.t1,gbgene17118.t1	CG6271-PA	GBUE011318-PA	NA	56086_0_002c35	NA	GO:0005615,GO:0016042,GO:0016298	FBpp0084519	NA	NA	NA	CG6271-PA	NA	NA	NA	FBpp0084519	NA	AAF56654.1	AAF56654	NA	NA	NA	NA	NA	NP_651526	NA	NA	NA	NA	Q9VB88	NA	FBpp0084519	NA
gbman.GBUE017918-PA.1	6942.05239528944	-4.4780216772742	0.925078825598974	-5.40413657455469	6.51213132169403e-08	0.000877249210345403	gbman.GBUE017918-PA.1.t1	gbman.GBUE017918-PA.1	FBgn0034157	gbgene13457.t1,gbgene13458.t1,gbgene13460.t1	resilin-PA	GBUE017918-PA	NA	56086_0_0045fd	NA	GO:0005576,GO:0008010,GO:0008061,GO:0030023,GO:0031012,GO:0032992,GO:0040003,GO:0042302,GO:0062129	FBpp0086175	NA	NA	NA	CG15920-PA	NA	NA	NA	FBpp0086175	NA	AAF57953.1	AAF57953	NA	NA	NA	NA	NA	NP_611157	NA	NA	Q9V7U0	NA	NA	NA	FBpp0086175	NA
gbgene14860	21008.7408248859	-3.74228592482025	0.967503102700073	-5.39884473330195	6.70713879321934e-08	0.000903518666834577	gbgene14860.t1	gbgene14860	FBgn0037430	gbgene14860.t1,gbgene14860.t2	Osi20-PA	GBUE016608-PA	gbgene14860.t1,gbgene14860.t2	56086_0_0040df	gbgene14860.t1,gbgene14860.t2	GO:0003674,GO:0005887,GO:0008150	FBpp0081205	NA	NA	NA	CG15188-PA	NA	NA	NA	FBpp0081205	NA	AAF54138.1	AAF54138	NA	NA	NA	NA	NA	NP_649641	NA	NA	NA	NA	Q9VI07	NA	FBpp0081205	NA
gbgene14860	21008.7408248859	-3.74228592482025	0.967503102700073	-5.39884473330195	6.70713879321934e-08	0.000903518666834577	gbgene14860.t2	gbgene14860	FBgn0037430	gbgene14860.t1,gbgene14860.t2	Osi20-PA	GBUE016608-PA	gbgene14860.t1,gbgene14860.t2	56086_0_0040df	gbgene14860.t1,gbgene14860.t2	GO:0003674,GO:0005887,GO:0008150	FBpp0081205	NA	NA	NA	CG15188-PA	NA	NA	NA	FBpp0081205	NA	AAF54138.1	AAF54138	NA	NA	NA	NA	NA	NP_649641	NA	NA	NA	NA	Q9VI07	NA	FBpp0081205	NA
gbgene5882	205.652417664118	4.33676076378426	0.81454189823711	5.3595846326819	8.34135108890927e-08	0.00112366340518697	gbgene5882.t1	gbgene5882	NA	NA	NA	NA	NA	79782_0_000e48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbman.GBUE005903-PA.1	436.193451510645	-3.83434564439182	0.96574902048224	-5.31829752656332	1.04742691551676e-07	0.00141098879789263	gbman.GBUE005903-PA.1.t1	gbman.GBUE005903-PA.1	FBgn0032125	NA	Cpr30B-PA	GBUE005903-PA	NA	56086_0_00170e	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0079429	FBpp0074745	NA	NA	CG9283-PA	CG3818-PA	NA	NA	FBpp0079429	FBpp0074745	AAF52783.2	AAF52783	AAF49153.1	AAF49153	NA	NA	NA	NP_649120	NP_609295	NA	NA	NA	Q9VW02	Q9VLB1	FBpp0079429	FBpp0074745
gbgene5396	16.1168404606063	2.60617609987727	0.483108456569678	5.31045227113598	1.09353520840313e-07	0.00147310127923986	gbgene5396.t1	gbgene5396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene5691	1008.41980905326	-4.2700499419827	0.942836736772054	-5.2826354303621	1.27338635951787e-07	0.00171537876490652	gbgene5691.t1	gbgene5691	FBgn0005633	NA	fln-PB	GBUE009536-PA	NA	56086_0_00253f	NA	GO:0005863,GO:0007527,GO:0008307,GO:0014703,GO:0030241,GO:0031672,GO:0045214,GO:0071688,GO:0097493	FBpp0304969	NA	NA	NA	CG7445-PB	NA	NA	NA	NA	NA	AGB94777	NA	NA	NA	NA	NA	NA	NP_001262084	NA	NA	P35554	NA	NA	NA	NA	NA
gbgene7680	1173.84931605055	-3.73205967837719	0.967026242722887	-5.20992245691447	1.88919572780184e-07	0.00254493556492186	gbgene7680.t1	gbgene7680	NA	NA	NA	GBUE008385-PA	NA	56086_0_0020c0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene2760	25.1521775245114	-4.74853384985245	0.922268881706783	-5.15649701134558	2.51612497249163e-07	0.00338947195044347	gbgene2760.t1	gbgene2760	NA	NA	NA	GBUE012585-PA	gbgene2760.t1,gbgene2761.t1	56086_0_003128	gbgene2760.t1,gbgene2761.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene6727	1449.37972193598	-4.04308867290547	0.953279044761883	-5.13588517962872	2.80819080275785e-07	0.0037829138303951	gbgene6727.t1	gbgene6727	FBgn0032289	gbgene2610.t1,gbgene6727.t1	CG6431-PB	GBUE011923-PA	NA	56086_0_002e92	NA	GO:0005615,GO:0016042,GO:0016298	FBpp0271827	NA	NA	NA	CG6431-PB	NA	NA	NA	FBpp0271827	NA	AAF52997	NA	NA	NA	NA	NA	NA	NP_609442	NA	NA	NA	NA	Q9VKR3	NA	FBpp0271827	NA
