Genes	GO.ID_MF	Term_MF	Annotated_MF	Significant_MF	Expected_MF	Rank in classicFisher_MF	classicFisher_MF	elimFisher_MF	weight01Fisher_MF	parentchildFisher_MF	weightFisher_MF	leaFisher_MF
gbgene9510	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene9512	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene9513	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000609-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000612-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000613-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000614-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000615-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000616-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000617-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000618-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000824-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000825-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000826-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000838-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000885-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000886-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000887-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000889-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000890-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000891-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000892-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000893-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000894-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000895-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000896-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000897-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE000957-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE001185-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE001467-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE001802-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE001804-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE001806-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE001944-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE002393-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE002394-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE003508-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE003510-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE003726-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE003969-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE004094-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE004236-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE005603-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE005751-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE005752-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE005903-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE006394-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE006625-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE006892-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE006895-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE006896-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE006897-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE006898-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE006899-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE006900-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE006901-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE006904-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE006964-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE007015-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE007184-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE007232-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE007376-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE008531-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE008532-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE008533-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE008534-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE008535-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE008536-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE008537-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE008538-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE008539-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE008540-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE008543-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE008544-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE008545-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE008546-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE008608-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE008610-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE008953-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE009314-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE009315-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE009686-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE009687-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE009688-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE009755-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE009757-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE010356-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE011199-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE011215-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE011216-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE011468-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE011542-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE011554-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE011838-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE011839-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE012454-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE012636-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE013023-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE013024-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE013026-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE013027-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE013028-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE013030-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE013212-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE013715-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE014196-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE014232-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE014859-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE015406-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE015407-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE015549-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE015719-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE015859-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE015881-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE015884-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE016502-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE016614-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE016720-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE017076-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE017847-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE017848-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE017854-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE017855-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE017915-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE017916-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE017917-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE017918-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE018700-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE019031-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE019033-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE019515-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE019609-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE020218-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE020314-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE020355-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE020375-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE020375-PA.2	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE020397-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE020645-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbman.GBUE021065-PA.1	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene10227	GO:0008010	structural constituent of chitin-based larval cuticle	133	28	0.85	3	< 1e-30	< 1e-30	< 1e-30	0.5981	1.000	< 1e-30
gbgene11480	GO:0008010	structural constituent of chitin-based larval cuticle	133	28	0.85	3	< 1e-30	< 1e-30	< 1e-30	0.5981	1.000	< 1e-30
gbgene11481	GO:0008010	structural constituent of chitin-based larval cuticle	133	28	0.85	3	< 1e-30	< 1e-30	< 1e-30	0.5981	1.000	< 1e-30
gbgene11482	GO:0008010	structural constituent of chitin-based larval cuticle	133	28	0.85	3	< 1e-30	< 1e-30	< 1e-30	0.5981	1.000	< 1e-30
gbgene16565	GO:0008010	structural constituent of chitin-based larval cuticle	133	28	0.85	3	< 1e-30	< 1e-30	< 1e-30	0.5981	1.000	< 1e-30
gbgene17253	GO:0008010	structural constituent of chitin-based larval cuticle	133	28	0.85	3	< 1e-30	< 1e-30	< 1e-30	0.5981	1.000	< 1e-30
gbgene17286	GO:0008010	structural constituent of chitin-based larval cuticle	133	28	0.85	3	< 1e-30	< 1e-30	< 1e-30	0.5981	1.000	< 1e-30
gbgene7111	GO:0008010	structural constituent of chitin-based larval cuticle	133	28	0.85	3	< 1e-30	< 1e-30	< 1e-30	0.5981	1.000	< 1e-30
gbman.GBUE000609-PA.1	GO:0008010	structural constituent of chitin-based larval cuticle	133	28	0.85	3	< 1e-30	< 1e-30	< 1e-30	0.5981	1.000	< 1e-30
gbman.GBUE000612-PA.1	GO:0008010	structural constituent of chitin-based larval cuticle	133	28	0.85	3	< 1e-30	< 1e-30	< 1e-30	0.5981	1.000	< 1e-30
gbman.GBUE000613-PA.1	GO:0008010	structural constituent of chitin-based larval cuticle	133	28	0.85	3	< 1e-30	< 1e-30	< 1e-30	0.5981	1.000	< 1e-30
gbman.GBUE000614-PA.1	GO:0008010	structural constituent of chitin-based larval cuticle	133	28	0.85	3	< 1e-30	< 1e-30	< 1e-30	0.5981	1.000	< 1e-30
gbman.GBUE000615-PA.1	GO:0008010	structural constituent of chitin-based larval cuticle	133	28	0.85	3	< 1e-30	< 1e-30	< 1e-30	0.5981	1.000	< 1e-30
gbman.GBUE000616-PA.1	GO:0008010	structural constituent of chitin-based larval cuticle	133	28	0.85	3	< 1e-30	< 1e-30	< 1e-30	0.5981	1.000	< 1e-30
gbman.GBUE000617-PA.1	GO:0008010	structural constituent of chitin-based larval cuticle	133	28	0.85	3	< 1e-30	< 1e-30	< 1e-30	0.5981	1.000	< 1e-30
gbman.GBUE000618-PA.1	GO:0008010	structural constituent of chitin-based larval cuticle	133	28	0.85	3	< 1e-30	< 1e-30	< 1e-30	0.5981	1.000	< 1e-30
gbman.GBUE000885-PA.1	GO:0008010	structural constituent of chitin-based larval cuticle	133	28	0.85	3	< 1e-30	< 1e-30	< 1e-30	0.5981	1.000	< 1e-30
