Genes	GO.ID_BP	Term_BP	Annotated_BP	Significant_BP	Expected_BP	Rank in classicFisher_BP	classicFisher_BP	elimFisher_BP	weight01Fisher_BP	parentchildFisher_BP	weightFisher_BP	leaFisher_BP
gbgene1330	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13303	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13398	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13433	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13490	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13536	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13543	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13547	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13566	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13578	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13581	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1360	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1361	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1362	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1363	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13644	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13692	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13700	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13704	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13748	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13757	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13758	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1381	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13836	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13848	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13849	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1386	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13898	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13924	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13929	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13955	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13965	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13966	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13967	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13968	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1398	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1399	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13990	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene13998	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14052	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14054	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14059	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14066	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14075	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14114	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14119	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14122	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14125	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14137	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14138	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14170	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14171	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14200	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14214	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14215	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14240	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14241	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14256	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14267	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14279	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14294	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14308	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14309	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14320	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14351	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14355	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14375	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14384	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14400	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14407	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14413	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14425	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1443	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14436	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14442	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14446	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14447	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1455	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14557	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1456	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene146	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1463	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1464	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1465	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1468	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14680	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1469	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14691	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14718	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14764	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14767	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14768	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1483	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14889	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14890	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14918	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14956	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1498	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14985	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene14986	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15011	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1506	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15061	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15106	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15125	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15144	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15145	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15151	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15152	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15172	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15192	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15209	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15210	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15211	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15243	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15274	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15298	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15304	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15307	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15336	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15340	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1540	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15403	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15416	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15417	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15469	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15495	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1551	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1552	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15594	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15595	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1560	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1564	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1565	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15722	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15724	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15781	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15782	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15815	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1586	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1587	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1588	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1589	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1593	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15937	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene15975	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16001	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16005	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1601	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16034	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16035	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16036	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16058	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16059	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16060	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16061	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16076	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16090	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16091	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16104	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16107	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16128	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1613	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16151	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16170	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16192	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16203	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16204	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1621	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16232	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16233	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16242	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16279	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16346	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16348	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16359	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16404	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16426	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16432	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16453	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16473	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16485	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16486	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16513	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16532	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16577	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16629	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16630	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16631	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16644	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16658	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16659	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16668	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16683	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16685	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16735	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1675	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1676	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16785	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16794	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16805	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16836	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16866	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16879	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16884	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16893	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16898	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1690	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16900	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16901	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16921	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16958	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16959	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16962	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene16996	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1701	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1702	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene1705	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene17062	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene17065	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene17084	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene17088	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene17092	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
