Genes	GO.ID_CC	Term_CC	Annotated_CC	Significant_CC	Expected_CC	Rank in classicFisher_CC	classicFisher_CC	elimFisher_CC	weight01Fisher_CC	parentchildFisher_CC	weightFisher_CC	leaFisher_CC
gbgene13851	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene13914	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene13933	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene13972	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene13980	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14006	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14054	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14071	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14101	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14106	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14110	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14115	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14177	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14218	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14224	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14229	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14237	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14274	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14338	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14339	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14350	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14375	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14387	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14388	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14409	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14410	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14438	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14442	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14464	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14505	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14550	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14552	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1465	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14671	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1468	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14684	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14732	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14737	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14745	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14759	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14762	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14763	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14791	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14864	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14918	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1493	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene14941	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15009	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1505	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15068	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15077	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15104	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15156	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15158	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15183	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15184	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15212	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15225	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15226	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1523	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15271	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15273	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15297	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15341	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15368	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene154	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15404	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15419	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15427	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1543	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15442	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15475	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15486	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15487	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15546	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15550	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15558	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15575	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15578	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15579	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15691	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15692	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15694	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15704	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15707	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15708	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15725	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1573	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15741	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15780	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15843	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15979	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene15980	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16020	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16021	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16031	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene161	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16126	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16127	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16179	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16189	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16206	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16244	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16258	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1626	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16260	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1632	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16321	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16413	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16420	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16424	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16444	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16459	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16497	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16517	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16585	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16591	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16594	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16595	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16644	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16663	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16671	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16682	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16700	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16745	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16775	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16787	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16797	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16812	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16826	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16839	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16868	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16873	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16929	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16948	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16976	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene16994	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1700	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1702	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17079	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17080	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17081	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17153	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17161	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17177	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17188	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17231	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17269	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17288	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17289	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17322	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17374	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17384	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17402	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17414	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17437	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17442	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17443	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1749	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17495	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17516	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17524	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17529	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17546	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17566	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17574	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17582	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17583	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17597	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17608	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17618	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17621	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17622	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17630	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17660	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17671	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17772	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17780	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17783	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17806	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17814	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17864	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17872	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene17936	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18002	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18007	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18059	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1806	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18103	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1815	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18156	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1819	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1820	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1821	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1822	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1823	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18238	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18245	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1825	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18260	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18289	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18320	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18321	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18380	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene184	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18444	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18462	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18489	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18577	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18578	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18597	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18600	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18612	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18679	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18713	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18739	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18756	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene1879	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18878	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18909	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene18949	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene19110	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene19113	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene19120	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene19173	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene19192	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
gbgene19256	GO:0005739	mitochondrion	928	1	5.78	65	0.9977	0.9977	0.9977	0.7063	0.9977	0.9977
