Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GO_ID_BP	Term_BP	Annotated_BP	Significant_BP	Expected_BP	Rank_in_classicFisher_BP	classicFisher_BP	elimFisher_BP	weight01Fisher_BP	parentchildFisher_BP	weightFisher_BP	leaFisher_BP	GO_ID_CC	Term_CC	Annotated_CC	Significant_CC	Expected_CC	Rank_in_classicFisher_CC	classicFisher_CC	elimFisher_CC	weight01Fisher_CC	parentchildFisher_CC	weightFisher_CC	leaFisher_CC	GO_ID_MF	Term_MF	Annotated_MF	Significant_MF	Expected_MF	Rank_in_classicFisher_MF	classicFisher_MF	elimFisher_MF	weight01Fisher_MF	parentchildFisher_MF	weightFisher_MF	leaFisher_MF
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0031424	keratinization	21	7	0.07	5	3e-13	0.03029	0.03029	5.9e-13	0.03029	0.03029	GO:0005813	centrosome	235	6	1.06	12	0.00061	0.00061	0.00061	0.07566	0.00061	0.00061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0031424	keratinization	21	7	0.07	5	3e-13	0.03029	0.03029	5.9e-13	0.03029	0.03029	GO:0016604	nuclear body	369	8	1.66	8	0.00021	0.00021	1.6e-05	0.00022	0.00021	0.00021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0031424	keratinization	21	7	0.07	5	3e-13	0.03029	0.03029	5.9e-13	0.03029	0.03029	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0070268	cornification	10	6	0.03	3	2e-13	2e-13	2e-13	2.2e-11	2e-13	2e-13	GO:0001533	cornified envelope	20	7	0.09	1	1.7e-12	1.7e-12	1.7e-12	8.1e-14	1.7e-12	1.7e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0070268	cornification	10	6	0.03	3	2e-13	2e-13	2e-13	2.2e-11	2e-13	2e-13	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0070268	cornification	10	6	0.03	3	2e-13	2e-13	2e-13	2.2e-11	2e-13	2e-13	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0070268	cornification	10	6	0.03	3	2e-13	2e-13	2e-13	2.2e-11	2e-13	2e-13	GO:0005813	centrosome	235	6	1.06	12	0.00061	0.00061	0.00061	0.07566	0.00061	0.00061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0070268	cornification	10	6	0.03	3	2e-13	2e-13	2e-13	2.2e-11	2e-13	2e-13	GO:0016604	nuclear body	369	8	1.66	8	0.00021	0.00021	1.6e-05	0.00022	0.00021	0.00021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0070268	cornification	10	6	0.03	3	2e-13	2e-13	2e-13	2.2e-11	2e-13	2e-13	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene2487	98.9670633142126	-1.037944846473	0.854426877024591	-7.23864656816721	4.53184286730744e-13	5.93127594473197e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene15915	36590.6891564501	-4.41881031436448	0.944946460207646	-7.18695788897436	6.62508327618342e-13	8.67090899186887e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene12445	113.109140929474	5.68053353703184	0.751167435929255	7.14650515577905	8.90150478034725e-13	1.16502894565185e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0010224	response to UV-B	23	7	0.08	6	6.2e-13	6.2e-13	6.2e-13	1e-04	6.2e-13	6.2e-13	GO:0001533	cornified envelope	20	7	0.09	1	1.7e-12	1.7e-12	1.7e-12	8.1e-14	1.7e-12	1.7e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0010224	response to UV-B	23	7	0.08	6	6.2e-13	6.2e-13	6.2e-13	1e-04	6.2e-13	6.2e-13	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0010224	response to UV-B	23	7	0.08	6	6.2e-13	6.2e-13	6.2e-13	1e-04	6.2e-13	6.2e-13	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0010224	response to UV-B	23	7	0.08	6	6.2e-13	6.2e-13	6.2e-13	1e-04	6.2e-13	6.2e-13	GO:0005813	centrosome	235	6	1.06	12	0.00061	0.00061	0.00061	0.07566	0.00061	0.00061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0010224	response to UV-B	23	7	0.08	6	6.2e-13	6.2e-13	6.2e-13	1e-04	6.2e-13	6.2e-13	GO:0016604	nuclear body	369	8	1.66	8	0.00021	0.00021	1.6e-05	0.00022	0.00021	0.00021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0010224	response to UV-B	23	7	0.08	6	6.2e-13	6.2e-13	6.2e-13	1e-04	6.2e-13	6.2e-13	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0018153	isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine	9	6	0.03	1	7.9e-14	7.9e-14	7.9e-14	4e-10	7.9e-14	7.9e-14	GO:0001533	cornified envelope	20	7	0.09	1	1.7e-12	1.7e-12	1.7e-12	8.1e-14	1.7e-12	1.7e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0018153	isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine	9	6	0.03	1	7.9e-14	7.9e-14	7.9e-14	4e-10	7.9e-14	7.9e-14	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0018153	isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine	9	6	0.03	1	7.9e-14	7.9e-14	7.9e-14	4e-10	7.9e-14	7.9e-14	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0018153	isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine	9	6	0.03	1	7.9e-14	7.9e-14	7.9e-14	4e-10	7.9e-14	7.9e-14	GO:0005813	centrosome	235	6	1.06	12	0.00061	0.00061	0.00061	0.07566	0.00061	0.00061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0018153	isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine	9	6	0.03	1	7.9e-14	7.9e-14	7.9e-14	4e-10	7.9e-14	7.9e-14	GO:0016604	nuclear body	369	8	1.66	8	0.00021	0.00021	1.6e-05	0.00022	0.00021	0.00021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0018153	isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine	9	6	0.03	1	7.9e-14	7.9e-14	7.9e-14	4e-10	7.9e-14	7.9e-14	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0031424	keratinization	21	7	0.07	5	3e-13	0.03029	0.03029	5.9e-13	0.03029	0.03029	GO:0001533	cornified envelope	20	7	0.09	1	1.7e-12	1.7e-12	1.7e-12	8.1e-14	1.7e-12	1.7e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0031424	keratinization	21	7	0.07	5	3e-13	0.03029	0.03029	5.9e-13	0.03029	0.03029	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0031424	keratinization	21	7	0.07	5	3e-13	0.03029	0.03029	5.9e-13	0.03029	0.03029	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0031424	keratinization	21	7	0.07	5	3e-13	0.03029	0.03029	5.9e-13	0.03029	0.03029	GO:0005813	centrosome	235	6	1.06	12	0.00061	0.00061	0.00061	0.07566	0.00061	0.00061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0031424	keratinization	21	7	0.07	5	3e-13	0.03029	0.03029	5.9e-13	0.03029	0.03029	GO:0016604	nuclear body	369	8	1.66	8	0.00021	0.00021	1.6e-05	0.00022	0.00021	0.00021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0031424	keratinization	21	7	0.07	5	3e-13	0.03029	0.03029	5.9e-13	0.03029	0.03029	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0070268	cornification	10	6	0.03	3	2e-13	2e-13	2e-13	2.2e-11	2e-13	2e-13	GO:0001533	cornified envelope	20	7	0.09	1	1.7e-12	1.7e-12	1.7e-12	8.1e-14	1.7e-12	1.7e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0070268	cornification	10	6	0.03	3	2e-13	2e-13	2e-13	2.2e-11	2e-13	2e-13	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0070268	cornification	10	6	0.03	3	2e-13	2e-13	2e-13	2.2e-11	2e-13	2e-13	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0070268	cornification	10	6	0.03	3	2e-13	2e-13	2e-13	2.2e-11	2e-13	2e-13	GO:0005813	centrosome	235	6	1.06	12	0.00061	0.00061	0.00061	0.07566	0.00061	0.00061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0070268	cornification	10	6	0.03	3	2e-13	2e-13	2e-13	2.2e-11	2e-13	2e-13	GO:0016604	nuclear body	369	8	1.66	8	0.00021	0.00021	1.6e-05	0.00022	0.00021	0.00021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08	GO:0070268	cornification	10	6	0.03	3	2e-13	2e-13	2e-13	2.2e-11	2e-13	2e-13	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene5076	22887.5020773859	-4.30913338209868	0.947609408577577	-7.08304785907719	1.41017946094468e-12	1.8456428784844e-08	GO:0034314	Arp2/3 complex-mediated actin nucleation	36	4	0.12	17	6e-06	6e-06	6e-06	0.5263	6e-06	6e-06	GO:0005769	early endosome	201	4	0.91	15	0.01248	0.01248	0.01248	0.02759	0.01248	0.01248	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene5076	22887.5020773859	-4.30913338209868	0.947609408577577	-7.08304785907719	1.41017946094468e-12	1.8456428784844e-08	GO:0034314	Arp2/3 complex-mediated actin nucleation	36	4	0.12	17	6e-06	6e-06	6e-06	0.5263	6e-06	6e-06	GO:0030904	retromer complex	21	4	0.09	4	2e-06	2e-06	2e-06	2.5e-07	2e-06	2e-06	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene5076	22887.5020773859	-4.30913338209868	0.947609408577577	-7.08304785907719	1.41017946094468e-12	1.8456428784844e-08	GO:0042147	retrograde transport, endosome to Golgi	53	4	0.18	20	2.9e-05	2.9e-05	2.9e-05	0.0035	2.9e-05	2.9e-05	GO:0005769	early endosome	201	4	0.91	15	0.01248	0.01248	0.01248	0.02759	0.01248	0.01248	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene5076	22887.5020773859	-4.30913338209868	0.947609408577577	-7.08304785907719	1.41017946094468e-12	1.8456428784844e-08	GO:0042147	retrograde transport, endosome to Golgi	53	4	0.18	20	2.9e-05	2.9e-05	2.9e-05	0.0035	2.9e-05	2.9e-05	GO:0030904	retromer complex	21	4	0.09	4	2e-06	2e-06	2e-06	2.5e-07	2e-06	2e-06	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene5076	22887.5020773859	-4.30913338209868	0.947609408577577	-7.08304785907719	1.41017946094468e-12	1.8456428784844e-08	GO:0042752	regulation of circadian rhythm	98	4	0.33	32	0.00032	0.00032	0.00032	8.4e-05	0.00032	0.00032	GO:0005769	early endosome	201	4	0.91	15	0.01248	0.01248	0.01248	0.02759	0.01248	0.01248	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene5076	22887.5020773859	-4.30913338209868	0.947609408577577	-7.08304785907719	1.41017946094468e-12	1.8456428784844e-08	GO:0042752	regulation of circadian rhythm	98	4	0.33	32	0.00032	0.00032	0.00032	8.4e-05	0.00032	0.00032	GO:0030904	retromer complex	21	4	0.09	4	2e-06	2e-06	2e-06	2.5e-07	2e-06	2e-06	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene5076	22887.5020773859	-4.30913338209868	0.947609408577577	-7.08304785907719	1.41017946094468e-12	1.8456428784844e-08	GO:0045892	negative regulation of transcription, DNA-templated	430	5	1.46	82	0.01403	0.01403	0.00108	0.0445	0.04853	0.01403	GO:0005769	early endosome	201	4	0.91	15	0.01248	0.01248	0.01248	0.02759	0.01248	0.01248	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene5076	22887.5020773859	-4.30913338209868	0.947609408577577	-7.08304785907719	1.41017946094468e-12	1.8456428784844e-08	GO:0045892	negative regulation of transcription, DNA-templated	430	5	1.46	82	0.01403	0.01403	0.00108	0.0445	0.04853	0.01403	GO:0030904	retromer complex	21	4	0.09	4	2e-06	2e-06	2e-06	2.5e-07	2e-06	2e-06	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene5076	22887.5020773859	-4.30913338209868	0.947609408577577	-7.08304785907719	1.41017946094468e-12	1.8456428784844e-08	GO:0051127	positive regulation of actin nucleation	21	4	0.07	13	6.3e-07	6.3e-07	6.3e-07	0.0175	6.3e-07	6.3e-07	GO:0005769	early endosome	201	4	0.91	15	0.01248	0.01248	0.01248	0.02759	0.01248	0.01248	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene5076	22887.5020773859	-4.30913338209868	0.947609408577577	-7.08304785907719	1.41017946094468e-12	1.8456428784844e-08	GO:0051127	positive regulation of actin nucleation	21	4	0.07	13	6.3e-07	6.3e-07	6.3e-07	0.0175	6.3e-07	6.3e-07	GO:0030904	retromer complex	21	4	0.09	4	2e-06	2e-06	2e-06	2.5e-07	2e-06	2e-06	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene5076	22887.5020773859	-4.30913338209868	0.947609408577577	-7.08304785907719	1.41017946094468e-12	1.8456428784844e-08	GO:0070534	protein K63-linked ubiquitination	28	4	0.09	15	2.1e-06	2.1e-06	2.1e-06	0.0012	2.1e-06	2.1e-06	GO:0005769	early endosome	201	4	0.91	15	0.01248	0.01248	0.01248	0.02759	0.01248	0.01248	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene5076	22887.5020773859	-4.30913338209868	0.947609408577577	-7.08304785907719	1.41017946094468e-12	1.8456428784844e-08	GO:0070534	protein K63-linked ubiquitination	28	4	0.09	15	2.1e-06	2.1e-06	2.1e-06	0.0012	2.1e-06	2.1e-06	GO:0030904	retromer complex	21	4	0.09	4	2e-06	2e-06	2e-06	2.5e-07	2e-06	2e-06	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene6642	1715.38392130346	-5.38382471364449	0.774016262230391	-7.0490719692955	1.8011498119238e-12	2.35734487384587e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	GO:0004453	juvenile-hormone esterase activity	14	1	0.07	24	0.07064	0.07064	0.07064	0.358	0.07064	0.07064
gbgene6642	1715.38392130346	-5.38382471364449	0.774016262230391	-7.0490719692955	1.8011498119238e-12	2.35734487384587e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	GO:0004453	juvenile-hormone esterase activity	14	1	0.07	24	0.07064	0.07064	0.07064	0.358	0.07064	0.07064
gbgene11933	577.794238259101	3.28551091087608	0.466353321835443	7.04150754023372	1.90170922494037e-12	2.48895703360195e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene9359	3488.3107711947	-4.21865882936744	0.94986407235254	-6.91352924625315	4.72742158476528e-12	6.1872493701408e-08	GO:0034314	Arp2/3 complex-mediated actin nucleation	36	4	0.12	17	6e-06	6e-06	6e-06	0.5263	6e-06	6e-06	GO:0005769	early endosome	201	4	0.91	15	0.01248	0.01248	0.01248	0.02759	0.01248	0.01248	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene9359	3488.3107711947	-4.21865882936744	0.94986407235254	-6.91352924625315	4.72742158476528e-12	6.1872493701408e-08	GO:0034314	Arp2/3 complex-mediated actin nucleation	36	4	0.12	17	6e-06	6e-06	6e-06	0.5263	6e-06	6e-06	GO:0030904	retromer complex	21	4	0.09	4	2e-06	2e-06	2e-06	2.5e-07	2e-06	2e-06	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene9359	3488.3107711947	-4.21865882936744	0.94986407235254	-6.91352924625315	4.72742158476528e-12	6.1872493701408e-08	GO:0042147	retrograde transport, endosome to Golgi	53	4	0.18	20	2.9e-05	2.9e-05	2.9e-05	0.0035	2.9e-05	2.9e-05	GO:0005769	early endosome	201	4	0.91	15	0.01248	0.01248	0.01248	0.02759	0.01248	0.01248	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene9359	3488.3107711947	-4.21865882936744	0.94986407235254	-6.91352924625315	4.72742158476528e-12	6.1872493701408e-08	GO:0042147	retrograde transport, endosome to Golgi	53	4	0.18	20	2.9e-05	2.9e-05	2.9e-05	0.0035	2.9e-05	2.9e-05	GO:0030904	retromer complex	21	4	0.09	4	2e-06	2e-06	2e-06	2.5e-07	2e-06	2e-06	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene9359	3488.3107711947	-4.21865882936744	0.94986407235254	-6.91352924625315	4.72742158476528e-12	6.1872493701408e-08	GO:0042752	regulation of circadian rhythm	98	4	0.33	32	0.00032	0.00032	0.00032	8.4e-05	0.00032	0.00032	GO:0005769	early endosome	201	4	0.91	15	0.01248	0.01248	0.01248	0.02759	0.01248	0.01248	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene9359	3488.3107711947	-4.21865882936744	0.94986407235254	-6.91352924625315	4.72742158476528e-12	6.1872493701408e-08	GO:0042752	regulation of circadian rhythm	98	4	0.33	32	0.00032	0.00032	0.00032	8.4e-05	0.00032	0.00032	GO:0030904	retromer complex	21	4	0.09	4	2e-06	2e-06	2e-06	2.5e-07	2e-06	2e-06	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene9359	3488.3107711947	-4.21865882936744	0.94986407235254	-6.91352924625315	4.72742158476528e-12	6.1872493701408e-08	GO:0045892	negative regulation of transcription, DNA-templated	430	5	1.46	82	0.01403	0.01403	0.00108	0.0445	0.04853	0.01403	GO:0005769	early endosome	201	4	0.91	15	0.01248	0.01248	0.01248	0.02759	0.01248	0.01248	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene9359	3488.3107711947	-4.21865882936744	0.94986407235254	-6.91352924625315	4.72742158476528e-12	6.1872493701408e-08	GO:0045892	negative regulation of transcription, DNA-templated	430	5	1.46	82	0.01403	0.01403	0.00108	0.0445	0.04853	0.01403	GO:0030904	retromer complex	21	4	0.09	4	2e-06	2e-06	2e-06	2.5e-07	2e-06	2e-06	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
gbgene9359	3488.3107711947	-4.21865882936744	0.94986407235254	-6.91352924625315	4.72742158476528e-12	6.1872493701408e-08	GO:0051127	positive regulation of actin nucleation	21	4	0.07	13	6.3e-07	6.3e-07	6.3e-07	0.0175	6.3e-07	6.3e-07	GO:0005769	early endosome	201	4	0.91	15	0.01248	0.01248	0.01248	0.02759	0.01248	0.01248	GO:0004842	ubiquitin-protein transferase activity	197	4	1.03	12	0.01916	0.01916	0.01916	0.7164	0.01916	0.01916
